관광지번호,관광지명,전화번호,소분류,지역코드,주소
L0001,가평 아홉마지기마을,031-582-3115,농.산.어촌 체험,I28,경기 가평군 가평읍 용추로 238
L0002,가평 이화원 나비스토리,031-581-0228,테마공원,I28,경기도 가평군 가평읍 자라섬로 64
L0003,가평 현충탑,031-5802-0667,기념탑/전망대,I28,경기도 가평군 가평읍 호반로 2540 가평읍 부근
L0004,가평군목공예영농조합,031-581-0550,전시관,I28,경기도 가평군 가평읍 경춘로 2045-65 가평읍
L0005,가평의병3.1항일운동기념비,031-580-2066,기념탑/전망대,I28,경기 가평군 가평읍 대곡리 467번지
L0006,가평지구전투전적비,031-5802-0667,기념탑/전망대,I28,경기도 가평군 가평읍 보납로70번길 47-1 가평읍
L0007,가평학도의용대참전기념비,031-580-2066,기념탑/전망대,I28,경기도 가평군 가평읍 문화로 131 가평읍
L0008,가평향교,031-580-2063,유적지,I28,경기도 가평군 가평읍 향교로 23-1 가평읍
L0009,남이섬 춘천닭갈비마을,031-580-2067,이색거리,I28,경기도 가평군 가평읍 자라섬로 60
L0010,대금산경기,031-580-2481,산,I28,경기 가평군 가평읍 두밀리 | 하면 현리
L0011,연인산도립공원,031-580-9900,도립공원,I28,경기도 가평군 가평읍 | 북면| 하면
L0012,영연방참전기념비,031-580-2067,기념탑/전망대,I28,경기도 가평군 가평읍 신용길 4 가평읍 부근
L0013,용추폭포,031-580-9900,폭포,I28,경기 가평군 가평읍 승안리 산 225
L0014,이방실장군묘,031-582-2016,유적지,I28,경기 가평군 가평읍 하색리 산81
L0015,자라섬,031-580-2067,섬,I28,경기도 가평군 가평읍 자라섬 가평읍
L0016,칼봉산자연휴양림,070-4060-0831,자연휴양림,I28,경기 가평군 가평읍 경반안로 454 일원
L0017,가덕산,031-580-2481,산,I28,경기 가평군 북면 | 강원도 춘천시 서면
L0018,가평 연인산마을,031-582-5790,농.산.어촌 체험,I28,경기도 가평군 북면 백둔로 417-11
L0019,강영천효자문,031-580-2063,문,I28,경기 가평군 북면 적목리 논남부락
L0020,귀목봉,031-580-2066,산,I28,경기도 가평군 북면 조무락골길 132
L0021,뉴질랜드전투기념비,031-5802-0667,기념탑/전망대,I28,경기 가평군 북면 목동리 691-1
L0022,대원사가평,031-582-0477,사찰,I28,경기도 가평군 북면 백둔로 21-123 북면
L0023,도마치계곡,031-580-2486,계곡,I28,경기도 가평군 북면 조무락골길 132 북면
L0024,명지계곡,031-580-2067,계곡,I28,경기도 가평군 북면 적목리 산 45
L0025,명지산군립공원,NULL,군립공원,I28,경기 가평군 북면 도대리 237-3
L0026,몽덕산,031-580-2481,산,I28,경기도 가평군 북면| 강원도 춘천시 서면
L0027,무주채폭포,031-580-2486,폭포,I28,경기 가평군 북면 적목리 산 1-1
L0028,석룡산,031-580-2481,산,I28,경기도 가평군 북면 | 강원도 화천군 사내면
L0029,수덕산,031-580-2481,산,I28,경기 가평군 북면 도대리
L0030,용소폭포,031-580-2486,폭포,I28,경기도 가평군 북면 조무락골길 132 북면
L0031,자연과별천문대,031-581-4001,자연생태관광지,I28,경기도 가평군 북면 백둔로342번길 115-33
L0032,조무락계곡,031-580-2486,계곡,I28,경기도 가평군 북면 조무락골길 북면
L0033,캐나다전투기념비,031-580-2066,기념탑/전망대,I28,경기 가평군 북면 이곡리 207-4번지
L0034,현대도예문화원,031-5815-7712,문화전수시설,I28,경기 가평군 북면 화악리 545번지
L0035,호주전투기념비,031-580-2066,기념탑/전망대,I28,경기 가평군 북면 목동리 691-1
L0036,화악산,033-440-2424,산,I28,경기 가평군 북면 화악리 강원도 화천군 사내면 삼 1~2리
L0037,가평 연하리향나무,031-580-2067,유적지,I28,경기도 가평군 상면 역촌길 84-6
L0038,가평 영양잣마을,NULL,농.산.어촌 체험,I28,경기도 가평군 상면 축령로 70
L0039,녹수계곡,031-580-2481,계곡,I28,경기 가평군 상면 덕현리 586
L0040,백련사가평,NULL,사찰,I28,경기도 가평군 상면 샘골길 159-50 상면
L0041,산장관광지,31807880578,관광단지,I28,경기도 가평군 상면 덕현산장길 74 상면
L0042,아침고요수목원,1544-6703,수목원,I28,경기도 가평군 상면 수목원로 432 상면
L0043,월사집목판,031-580-2067,유적지,I28,경기 가평군 상면 태봉리 산 115-1
L0044,이정구선생묘,031-580-2067,유적지,I28,경기 가평군 상면 태봉리 산 115-1
L0045,이천보고가,031-580-2067,유적지,I28,경기 가평군 상면 연하리 226-2
L0046,조종천계곡,031-580-2481,계곡,I28,경기 가평군 상면 덕현리
L0047,포도향이 흐르는 마을,070-7761-6112,농.산.어촌 체험,I28,경기도 가평군 상면 음지말로 6
L0048,가평 초롱이둥지마을,031-584-9959,농.산.어촌 체험,I28,경기도 가평군 설악면 묵안로 906 설악면
L0049,가평별묘,031-580-2063,유적지,I28,경기 가평군 설악면 방일리 355
L0050,국립 유명산자연휴양림,031-589-5487,자연휴양림,I28,경기도 가평군 설악면 유명산길 79-53 설악면
L0051,대리마을 산골농원 [농촌체험],031-584-7415,농.산.어촌 체험,I28,경기도 가평군 설악면 어비산길99번길 75-7
L0052,어비계곡,031-580-2486,계곡,I28,경기도 가평군 설악면 어비산길99번길 9-10 설악면
L0053,에델바이스 스위스테마파크,031-581-9400,이색체험,I28,경기도 가평군 설악면 다락재로 226-57 설악면
L0054,용문산전투전적비,031-580-2066,기념탑/전망대,I28,경기 가평군 설악면 천안리 98번지
L0055,유명산,NULL,산,I28,경기도 가평군 설악면 |양평군 옥천면
L0056,유명산계곡,NULL,계곡,I28,경기 가평군 설악면 가일리 | 양평군 옥천면 신복리
L0057,청평호반,031-5802-0667,호수,I28,경기도 가평군 설악면 유명로 1906-15
L0058,통방산,031-580-2481,산,I28,경기 가평군 설악면 | 양평군 서종면
L0059,가평삼회 생태복원지구,031-584-8541,자연생태관광지,I28,경기도 가평군 청평면 북한강로 2047
L0060,대성리 국민관광지,031-580-2067,관광단지,I28,경기도 가평군 청평면 경춘로 68-86 청평면
L0061,쁘띠프랑스,031-584-8200,이색체험,I28,경기도 가평군 청평면 호반로 1063
L0062,청평자연휴양림,031-584-0528,자연휴양림,I28,경기도 가평군 청평면 북한강로2246번길 8-6
L0063,청평호반 매운탕촌,031-5802-0667,이색거리,I28,경기 가평군 청평면 호명리 | 회곡리
L0064,호명호수공원,NULL,공원,I28,경기 가평군 청평면 상천리 산392 일원
L0065,화야산,031-580-2481,산,I28,경기 가평군 청평면 삼회리 | 설악면 회곡리
L0066,무지개폭포가평,NULL,폭포,I28,경기도 가평군 하면 운악청계로 478
L0067,버섯구지마을,031-584-9614,농.산.어촌 체험,I28,경기도 가평군 하면 대보간선로335번길 102
L0068,운악산,NULL,산,I28,경기 가평군 하면 운악청계로 589번길 73 | 포천시 화현면 화동로 180
L0069,운악산 두부마을,031-580-2067,이색거리,I28,경기 가평군 하면 하판리
L0070,조종암,031-580-2067,유적지,I28,경기도 가평군 하면 대보간선로 399 하면
L0071,코스모피아 천문대,031-585-0482,자연생태관광지,I28,경기도 가평군 하면 명지산로 558-226
L0072,현등사가평,031-585-0707,사찰,I28,경기도 가평군 조종면 현등사길 34
L0073,능인선원,02-577-5800,사찰,A01,서울특별시 강남구 양재대로 340 개포동
L0074,봉은사서울,NULL,사찰,A01,서울특별시 강남구 봉은사로 531 삼성동
L0075,서울 선릉과 정릉 [유네스코 세계문화유산],02-568-1291,유적지,A01,서울특별시 강남구 선릉로100길 1 삼성동
L0076,전주이씨광평대군파묘역,NULL,유적지,A01,서울특별시 강남구 광평로31길 20 수서동
L0077,도산공원,02-3423-6245,공원,A01,서울특별시 강남구 도산대로45길 20 신사동
L0078,신사동 가로수길,NULL,이색거리,A01,서울특별시 강남구 신사동 일대
L0079,헤이코리아 문화체험카페 Heykorea ,02-515-1582,전통체험,A01,서울특별시 강남구 선릉로161길 15-3 신사동
L0080,강남 시티투어 - 트롤리버스,02-3448-5519,이색체험,A01,서울특별시 강남구 압구정로 161 강남관광정보센터
L0081,압구정 로데오거리,NULL,이색거리,A01,서울특별시 강남구 압구정동 일대
L0082,한남 새말카페 레인보우,02-511-7345,기념탑/전망대,A01,서울특별시 강남구 강남대로 708 압구정동
L0083,강남,NULL,이색거리,A01,서울특별시 강남구 테헤란로 역삼동
L0084,탄천,NULL,강,A12,서울 강남구 율현동 ·수서동·일원동·대치동과 송파구의 문정동·가락동·석촌동·삼전동·잠실동
L0085,대모산공원,02-3423-6245,공원,A01,서울특별시 강남구 광평로10길 50 일원동|청솔빌리지 부근
L0086,불국사,02-445-4543,사찰,A01,서울특별시 강남구 광평로10길 30-71 일원동
L0087,차움,NULL,헬스투어,A01,서울특별시 강남구 도산대로 442 청담동
L0088,청담공원,02-3423-6245,공원,A01,서울특별시 강남구 영동대로131길 26 청담동
L0089,청담패션거리,NULL,이색거리,A01,서울특별시 강남구 청담동 일대
L0090,고덕동 생태경관 보전지역,NULL,자연생태관광지,A18,서울 강동구 고덕동 396번지 일대암사정수장~하남시계 구간의 한강수변
L0091,우남이승만박사 동상,02-2125-0848,동상,A01,서울특별시 강동구 고덕로 227 고덕동 배재중고등학교 내
L0092,길동생태공원,NULL,자연생태관광지,A01,서울특별시 강동구 천호대로 1291 길동
L0093,일자산자연공원,02-3425-6440,산,A21,서울 강동구 동남로 660 일대
L0094,구암서원 터구암정,02-3425-5252,유적지,A01,서울특별시 강동구 암사동 암사동
L0095,서울 암사동 유적,02-3425-6520,유적지,A01,서울특별시 강동구 올림픽로 875 암사동
L0096,암사생태공원,02-3780-0501,자연생태관광지,A01,서울특별시 강동구 선사로 83-66 일대 암사동
L0097,한강시민공원 광나루지구광나루한강공원,02-3780-0501,공원,A25,서울 강동구 선사로 83-66 암사동
L0098,리버뷰 8번가,02-476-0722,기념탑/전망대,A26,서울 강동구 천호2동 527-2
L0099,해공신익희선생동상,02-2125-0848,동상,A01,서울특별시 강동구 천호3동 448-49호 천호동 마을마당 내
L0100,강동예찬시비,02-3425-5253,기념탑/전망대,A28,서울 강동구 천호동 337-141
L0101,천호공원,02-489-2776,공원,A01,서울특별시 강동구 올림픽로 702 천호동
L0102,강릉 통일공원,NULL,테마공원,J03,강원도 강릉시 강동면 율곡로 1616
L0103,단경골 휴양지,NULL,유원지,J03,강원도 강릉시 강동면 단경로 841 강동면
L0104,담정관광농원,033-645-7008,관광농원,J03,강원도 강릉시 강동면 단경로 1211 강동면
L0105,등명락가사강릉,033-644-5337,사찰,J03,강원도 강릉시 강동면 정동진리 산 17
L0106,등명해변등명해수욕장,NULL,해수욕장,J03,강원 강릉시 강동면 정동진1리 일원
L0107,모래시계공원,033-640-4536,테마공원,J03,강원도 강릉시 강동면 헌화로 990-1
L0108,송담서원,NULL,유적지,J03,강원도 강릉시 강동면 송담서원길 27-7 강동면
L0109,썬크루즈 테마공원,033-610-7000,공원,J03,강원도 강릉시 강동면 헌화로 950-39 강동면
L0110,안인해변안인해수욕장,NULL,해수욕장,J03,강원 강릉시 강동면 안인리 일원
L0111,염전해변,NULL,해수욕장,J03,강원 강릉시 강동면 안인진리 1-4
L0112,정동진해변,NULL,해수욕장,J03,강원도 강릉시 강동면 정동역길 64-3
L0113,피래산,NULL,산,J03,강원 강릉시 강동면 | 옥계면 낙풍리
L0114,하슬라아트월드,033-644-9411,테마공원,J03,강원도 강릉시 강동면 율곡로 1441 강동면
L0115,강릉초당두부,033-652-1111,식음료,J03,강원도 강릉시 초당순두부길 124-11 강문동
L0116,강문해변,NULL,해수욕장,J03,강원도 강릉시 창해로 352 강문동
L0117,안목해변,NULL,해수욕장,J03,강원도 강릉시 창해로14번길 16 견소동
L0118,강릉향교,033-640-5118,유적지,J03,강원도 강릉시 명륜로 29 교동
L0119,강릉 굴산사지,033-640-5119,유적지,J03,강원 강릉시 구정면 학산리 1181
L0120,법왕사강릉,033-647-9450,사찰,J03,강원도 강릉시 구정면 금평로 314-246 구정면
L0121,청학사강릉,033-644-7756,사찰,J03,강원도 강릉시 구정면 청파로 176-38 구정면
L0122,칠성산,NULL,산,J03,강원 강릉시 구정면 어단리 왕산면 도마리| 목계리
L0123,관음사강릉,033-643-2985,사찰,J03,강원도 강릉시 신대학길 29 금학동
L0124,남항진해변남항진해수욕장,033-640-5130,해수욕장,J03,강원 강릉시 남항진동
L0125,한국과학기술연구원KIST 강릉분원 과학체험관,033-650-3416,기타,J03,강원도 강릉시 사임당로 679 대전동
L0126,강릉 구라미온천,033-641-8321,온천,J03,강원도 강릉시 사천면 구라미등길 25-15 사천면
L0127,강릉 모래내 한과마을갈골한과,033-647-4819,전통체험,J03,강원도 강릉시 사천면 한과마을길 20 사천면
L0128,강릉 해살이마을,033-648-8123,농.산.어촌 체험,J03,강원도 강릉시 사천면 중앙서로 557-1
L0129,사천진해변사천뒷불해수욕장,NULL,해수욕장,J03,강원 강릉시 사천면 사천진리
L0130,사천해변사천해수욕장,NULL,해수욕장,J03,강원 강릉시 사천면 방동리
L0131,용연사강릉,033-647-1234,사찰,J03,강원도 강릉시 사천면 중앙서로 961 사천면
