숙소번호,업소명,업종명,서비스대상구분,소재지도로명주소,지역코드,객실수,등급
S0001,327,민박,외국인,서울특별시 마포구 월드컵북로5가길 31  5층 (서교동),A01,1,
S0002,  펙트 호스텔,호스텔업,제한없음,강남구 선릉로90길 62(대치동),A01,8,
S0003, IMT HOTEL ,소형호텔업,제한없음, 오금로11길 29-5 ,A01,20,
S0004,(유)동원아이엔씨 그랜드힐튼호텔,관광호텔업,제한없음,연희로 353(홍은동),A01,503,
S0005,(주)경남관광호텔,관광호텔업,제한없음,장한로 110 (장안동),A01,80,
S0006,(주)노보텔앰배서더독산,관광호텔업,제한없음,시흥대로 378  (독산동),A01,218,
S0007,(주)신세계조선호텔 포포인츠 남산,관광호텔업,제한없음,한강대로 366 (동자동),A01,342,
S0008,(주)크라운호텔,관광호텔업,제한없음,녹사평대로 140 (이태원동),A01,191,
S0009,(주)해밀톤호텔,관광호텔업,제한없음,이태원로 179 (이태원동),A01,166,
S0010,(주)호텔롯데 롯데시티 호텔마포,관광호텔업,제한없음,마포대로 109 (공덕동),A01,284,
S0011,(주)호텔롯데 롯데시티호텔 구로,관광호텔업,제한없음,디지털로 300 (구로동),A01,287,
S0012,(주)호텔캐피탈,관광호텔업,제한없음,장문로 23 (이태원동),A01,286,
S0013,10 Guesthouse,민박,외국인,서울특별시 마포구 새창로 28  2층 (도화동),A01,3,
S0014,1012 하우스 남산,민박,외국인,서울특별시 중구 소공로6가길 22  3층 401호 (회현동2가),A01,4,
S0015,102stay,민박,외국인,서울특별시 송파구 충민로 81-8  102호 (문정동  연지하이츠빌라),A01,1,
S0016,121북촌,민박,외국인,서울특별시 종로구 계동길 121  3 4층 (계동),A01,3,
S0017,19th st.Guest House,민박,외국인,서울특별시 마포구 성미산로 163-3 (연남동),A01,1,
S0018,202 stay,민박,외국인,서울특별시 송파구 백제고분로41길 7-9  202호 (송파동  하이빌),A01,2,
