지역코드,지역명,위도,경도
A01,서울특별시,37.56356944,126.9800083
B01,부산광역시,35.17701944,129.0769528
C01,대구광역시,35.86854167,128.6035528
D01,인천광역시,37.45323333,126.7073528
E01,광주광역시,35.156975,126.8533639
F01,대전광역시,36.34711944,127.3865667
G01,울산광역시,35.53540833,129.3136889
H01,세종특별자치시,36.4800121,127.2890691
I01,경기도 수원시,37.26755556,127.0233889
I02,경기도 고양시,37.67248611,126.7527778
I03,경기도 용인시,37.31938611,127.1000972
I04,경기도 성남시,37.37996944,127.1210194
I05,경기도 부천시,37.5035917,126.766
I06,경기도 화성시,37.19681667,126.8335306
I07,경기도 안산시,37.29851944,126.8468194
I08,경기도 남양주시,37.63317778,127.2186333
I09,경기도 평택시,36.98943889,127.1146556
I10,경기도 시흥시,37.37731944,126.8050778
I11,경기도 파주시,37.75708333,126.7819528
I12,경기도 의정부시,37.73528889,127.0358417
I13,경기도 김포시,37.61245833,126.7177778
I14,경기도 광주시,37.41450556,127.2577861
I15,경기도 광명시,37.47575,126.8667083
I16,경기도 군포시,37.35865833,126.9375
I17,경기도 하남시,37.53649722,127.217
I18,경기도 오산시,37.14691389,127.0796417
I19,경기도 양주시,37.78245,127.0478194
I20,경기도 이천시,37.27543611,127.4432194
I21,경기도 구리시,37.591625,127.1318639
I22,경기도 안성시,37.005175,127.2818444
I23,경기도 포천시,37.89215556,127.2024194
I24,경기도 의왕시,37.34195,126.9703889
I25,경기도 양평군,37.48893611,127.4898861
I26,경기도 여주시,37.29535833,127.6396222
I27,경기도 동두천시,37.90091667,127.0626528
I28,경기도 가평군,37.82883056,127.5117778
I29,경기도 과천시,37.42637222,126.9898
I30,경기도 안양시,37.38377778,126.9345
I31,경기도 연천군,38.09336389,127.0770667
J01,강원도 춘천시,37.880075,127.726575
J02,강원도 원주시,37.33908333,127.9220556
J03,강원도 강릉시,37.74913611,128.8784972
J04,강원도 동해시,37.52193056,129.1166333
J05,강원도 태백시,37.16122778,128.9879972
J06,강원도 속초시,38.204275,128.5941667
