주관기관,전화번호,홈페이지주소
(사) 부산국제영화제,051-709-2091,http://www.biff.kr
(사) 부산기독교총연합회,051-464-0112,http://www.bctf.kr
(사)가야문화축제제전위원회,055-330-3958,www.gcfkorea.com
(사)감천문화마을 주민협의회,051-204-1444,http://www.gamcheon.or.kr
(사)강릉단오제위원회(사)강릉단오제보존회 외,033-641-1593,http://www.danojefestival.or.kr/
(사)고창무장읍성보존회,NULL,www.gochang.go.kr/culture/board/view.gochang?boardId=BBS_0000220&menuCd=DOM_000000603001009000&startPge=1&dataSid=391976
(사)교산·난설헌선양회,033-640-5580,http://www.hongkildong.or.kr/
(사)교산·난설헌선양회,000-0000-0000,http://www.hongkildong.or.kr/
(사)김유정기념사업회,033-261-4650,http://www.kimyoujeong.or.kr
(사)김유정기념사업회,033-261-4650,http://www.kimyoujeong.or.kr
(사)김해도예협회,055-330-3244,www.festival.buncheong.net
(사)담양대나무축제위원회,061-380-3152,www.bamboofestival.co.kr
(사)대구음식문화포럼,053-980-7956,http://www.seungsi.com
(사)대구포크페스티벌,053-626-2015,http://www.dgff.kr/
(사)대한자전거연맹,031-860-2209,http://mtb.ddc.go.kr
(사)동두천시자원봉사센터,031-860-2214,http://www.ddc.go.kr
(사)동학농민혁명계승사업회,063-539-5432,http://www.donghak.or.kr
(사)드라마페스티벌 조직위원회,055-755-2363,http://www.kdfo.org
(사)모양성보존회,063-560-2454,www.gochang.go.kr/moyangfestival/index.gochang
(사)법성포단오제 보존회,061-356-4331,http://bspdanoje.co.kr
(사)봉화군축제위원회,054-679-6343,http://www.bonghwafestival.com/songi
(사)봉화군축제위원회,054-679-6342,http://www.bonghwafestival.com/eunuh
(사)부산국제어린이영화제조직위원회,051-743-7652,http://www.biky.or.kr/
(사)부산문화관광축제조직위원회,051-888-5224,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-888-5221,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-888-5222,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-888-5357,http://www.bfo.or.kr
(사)부산문화관광축제조직위원회,051-888-5222,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-888-5224,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-888-5222,http://www.bfo.or.kr/main/index.asp
(사)부산문화관광축제조직위원회,051-501-6051,http://www.bfo.or.kr/
(사)부산문화관광축제조직위원회,051-501-6051,http://www.bfo.or.kr/
(사)부산서구문화원,051-240-4062,http://www.busangde.co.kr
(사)부산자갈치문화관광축제위원회,051-243-9363,http://www.ejagalchi.com/
(사)부천국제판타스틱영화제조직위원회,032-327-6313,http://www.bifan.kr
(사)북구문화관광축제조직위원회,051-309-4522,http://www.guponarufes.co.kr
(사)서울약령시협회,02-969-4793,www.seoulya.com
(사)세계거리춤축제위원회,02-3295-5560,NULL
(사)시간과공간연구소,053-661-2173,NULL
(사)약령시보존위원회,053-253-4729,http://www.herbfestival.org
(사)약령시보존위원회,053-661-2044,NULL
(사)약령시보존위원회,053-661-2044,NULL
(사)약령시보존위원회,053-661-2044,NULL
(사)어수회,031-860-2439,http://www.ddc.go.kr
(사)영랑기념사업회,061-430-3372,http://www.gangjin.go.kr/culture/
(사)울릉청년단,054-791-4116,http://www.ulleung.go.kr/tour/
(사)의병기념사업회,055-570-2502,http://www.uiryeong.go.kr/tour/index.uiryeong
(사)이천농촌나드리,031-636-2723,http://www.2000green.com
(사)이천예총,031-634-7300,http://www.2000art.or.kr
(사)자라섬청소년재즈센터,031-581-2813,https://www.facebook.com/jarasumjazz
(사)정선아리랑제위원회),033-563-2646,www.arirangfestival.co.kr
(사)정읍사문화제 제전위원회,063-539-5173,http://www.jchf.or.kr
(사)주얼리팰리스협의회,063-834-5100,http://www.iksanjewelpalace.com
(사)죽파류 가야금산조보존회,031-850-5147,http://www.uac.or.kr
(사)진해세계군악의장페스티벌추진위원회,NULL,NULL
(사)춘천국제고음악제,033-259-5830,http://ciemfestival.co.kr
(사)춘천마임축제,033-242-0585,http://www.mimefestival.com
(사)춘천마임축제,033-242-0585,http://www.mimefestival.com
(사)춘천연극제,033-241-4345,http://www.citf.or.kr/
(사)충주시사회단체연합회,043-847-4001,NULL
(사)태안반도안면청년회,041-670-2768,NULL
(사)한국농업경영인경주시연합회,054-743-7990,NULL
(사)한국미술협회 춘천지부,033-241-1856,http://cafe.daum.net/CCART
(사)한국연예예술인협회,02-2655-3157,http://culture.bsseogu.go.kr
(사)한국연예협회 울진군 지부,054-789-6891,NULL
(사)한국예술문화단체 총연합회오산지회,031-378-3967,NULL
(사)한국예술문화단체 총연합회오산지회,031-378-3967,NULL
(사)한국예총 경주지회,054-779-6072,http://www.gyeongju.go.kr/sillafestival
(사)한국예총 구리지회,031-550-2065,http://www.guri.go.kr
(사)한국예총 구리지회,031-550-2065,http://www.guri.go.kr
(사)한국예총 구리지회,031-550-2065,http://www.guri.go.kr
(사)한국예총 아산지회,041-540-2087,NULL
(사)한국외식업중앙회 대구달서구지부,053-667-2782,http://www.dalseo.daegu.kr
(사)한국체육진흥회,064-760-3320,NULL
(사)해운대문화관광협의회,051-749-4062,http://www.sandfestival.kr/
(재)계룡軍문화발전재단,042-840-2631,www.mfestival.org
(재)광주문화재단,062-613-3182,NULL
(재)남도음식문화큰잔치,061-430-3334,http://www.namdofood.or.kr/
(재)남도음식문화큰잔치,061-430-3354,http://www.gangjin.go.kr/culture/
(재)달서문화재단,053-584-9771,http://www.dscf.okr.kr
(재)달서문화재단,053-584-9711,http://www.dscf.okr.kr
(재)대구디지털산업진흥원,053-475-7745,http://www.efun.or.kr
(재)대구문화재단,053-430-1263,http://www.daegufestival.com
(재)대구문화재단,053-430-1263,http://www.cdf.or.kr
(재)대구오페라하우스,053-666-3074,http://www.daeguoperahouse.org
(재)명량대첩기념사업회,061-286-5261,http://www.mldc.kr/web/
