축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0001,2018 제2회 광진교 페스티벌,문화,광진교,8,청소년 페스티벌| 연날리기| 무대공연| 버스킹| 아트마켓| 완구거리| 푸드트럭| 기타 체험부스 등,서울특별시 광진구청,A01
F0002,2018 제8회 광나루 어울마당,문화,어린이대공원,9,주민자치경연대회| 평생학습동아리 발표회| 청소년 페스티벌| 체험| 판매| 홍보| 먹거리 부스 등,서울특별시 광진구청,A01
F0003,2019 강남페스티벌,문화,강남구 전역,9,개막제| K-POP 콘서트 등,강남구,A01
F0004,2019 강남페스티벌 패션쇼,문화,도산공원,9,패션축제를 통한 지역경제 활성화 유도,강남문화재단,A01
F0005,2019 동작복지나눔축제,복지,숭실대학교,8,사회복지의 날 기념식| 복지나눔콘서트| 오색복지 체험·나눔부스 등,동작구지역사회보장협의체·축제추진위원회,A01
F0006,2019 서울센터 네트워크파티 ''가가호호'',기술,미정,12,한해 사업을 결산하고 평가하여 내년도 사업의 방향과 토대를 마련. 센터 이요자와 관계자 등과 감사를 표하고 네트워킹의 장 제공,시청자미디어재단 서울시청자미디어센터,A01
F0007,2019 서울인라디오,미디어,홍대 걷고싶은 거리,9,서울 시민의 방송참여 기회 확대 및 마을미디어·공동체라디오 활성화 도모,시청자미디어재단 서울시청자미디어센터,A01
F0008,2019 제8회 서울동화축제,문화,어린이대공원,5,동화를 테마로 한 전시·공연·체험·구연동화 및 각종 이벤트 개최,서울동화축제위원회,A01
F0009,2019해우리문화축제,문화,양천공원,9,반려예술|반려식물존 구성으로 반려문화 한마당 개최,코피플랜,A01
F0010,365일 펀앤판 강남,예술,"강남역, 코엑스 등",4,탑싱아| 댄스킹| G스타킹| 거리버스킹| 청춘밴드| LIVE연가| 거리예술마당| 외국인공연단,서울특별시 강남구,A01
F0011,4.19혁명 국민문화제 2019,역사,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,4,4.19기념 국민문화제,4.19혁명 국민문화제위원회,A01
F0012,C-festival 2019,문화,코엑스 영동대로,5,인사이트 콘서트| 잇더서울| Craft Beer Festival 등,코엑스,A01
F0013,K-POP 뮤직페스티벌,문화,코엑스 광장,5,상시 K-POP 공연,강남구,A01
F0014,K-POP광장 야외시네마,문화,코엑스 K-POP광장,4,야외시네마 및 부대행사,강남구,A01
F0015,강감찬축제,역사,낙성대공원 일대,10,강감찬 장군 출병식 및 전승행렬 거리 퍼레이드| 고려마을 테마 체험부스| 강감찬 장군 추모제향 등 다채로운 행사 진행,관악구,A01
F0016,강동선사문화축제,역사,서울 암사동 유적,10,신석기시대 체험 축제,강동구청,A01
F0017,개화산 봄꽃축제,꽃놀이,방화근린공원,4,건강걷기| 지역예능인한마당| 플라워 콘서트,강서문화원,A01
F0018,구로G페스티벌,문화,서울특별시 구로구 안양천 둔치,9,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 축제,구로구,A01
F0019,금천하모니벚꽃축제 2019,꽃놀이,금천구청 광장 및 안양천변,4,개막공연(금나래의전설)| 꽃길만 걷자(아트브리지| 빛아트 등)| 금천하모니오케스트라| 우리동네 슈퍼스타| 하모니벚꽃장 등,금천하모니벚꽃축제거버넌스,A01
F0020,내 집 앞 세계영화제,미디어,강남구 전역,3,주민생활 공간 곳곳에서 세계영화 상영,강남구,A01
F0021,노원등축제,문화,어린이교통공원 아래 당현천,4,등|빛 작품 전시| 체험프로그램| 먹거리|전시 부스 운영 등,노원문화원,A01
F0022,노원탈축제,문화,롯데백화점 ~ 순복음교회 사이 도로(노해로),10,19개동마을축제| 생활예술동아리 축제| 탈퍼레이드| 특화사업| 축하공연| 체험부스| 마들탈가요제 등,노원탈축제추진위원회,A01
F0023,동작가족한마음축제,가족,보라매공원,10,구민체육대회| 축하공연| 동작가족미니랜드| 주민체험부스 운영 등,동작가족한마음축제 추진위원회,A01
F0024,동작구 도서관 축제,독서,보라매공원,10,도서관 홍보| 도서전시| 공연| 체험프로그램 운영 등,동작구 교육정책과,A01
F0025,롤링나이트 2019,문화,코엑스 K-POP광장,6,야외롤러장| 부대행사,코엑스,A01
F0026,방아다리벗꽃축제,꽃놀이,신월5동,4,벗꽃 풍경이 멋진 방아다리길에서 마을주민축제개최,벗꽃축제추진위,A01
F0027,봉황각 3.1독립운동 재현행사,역사,서울특별시 강북구 우이동 봉황각 일원,3,도선사 타종  독립선언문 낭독  길놀이 및 태극기 거리행진,서울특별시 강북구청,A01
F0028,서대문독립민주축제,역사,서대문형무소역사관,8,풋프린팅|역사콘서트|체험프로그램 등,서울특별시 서대문독립민주축제추진위원회,A01
F0029,서울약령시 한방문화축제,문화,서울약령시 약령문 거리,5,보제원제향| 한방사랑시민걷기대회 및 각종 한방체험,(사)서울약령시협회,A01
F0030,서울장미축제,꽃놀이,서울장미공원,5,장미개화시기에 맞춰 중랑천 둔치| 수림대 공원에서의 특설 무대 공연| 포토존| 조각전 등 5.15km 장미터널을 활용한 서울대표문화축제,중랑구,A01
F0031,석촌호수벚꽃축제,꽃놀이,석촌호수 일대,4,벚꽃조명길| 벚꽃은하수길| 벚꽃체험| 벚꽃프린지| 벚꽃음악회| 벚꽃시네마| 푸드트럭 등,서울특별시 송파구,A01
F0032,선농대제,역사,선농단,4,제례봉행| 설렁탕나눔행사,동대문문화재단,A01
F0033,세계 민속춤 축제,문화,왕십리 광장,9,세계 각국의 신명나는 민속춤 공연을 통해 구민들에게 힐링의 시간을 제공,서울특별시 성동구청,A01
F0034,세계거리춤축제,문화,장한로,9,세계거리춤공연| 주민참여무대| 각종춤경연,(사)세계거리춤축제위원회,A01
F0035,용마폭포 문화예술축제,자연,용마폭포공원,10,클래식| 성악 등 가을 분위기에 어울리는 공연 및 각종 체험행사 등,중랑구,A01
